datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,RFC,WEST,ATSI,PAPWR,477.813,True
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,RFC,MIDATL,PE,PE,2706.280,True
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,RFC,MIDATL,PEP,PEPCO,1950.128,True
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,RFC,MIDATL,PL,PLCO,3283.319,False
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,RFC,MIDATL,PN,PN,1613.855,True
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,RFC,MIDATL,PS,PS,3422.204,False
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,RFC,MIDATL,RECO,RECO,108.088,False
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,RFC,MIDATL,PEP,SMECO,219.147,True
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,RFC,MIDATL,PL,UGI,76.255,True
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,RFC,MIDATL,AE,VMEU,56.554,True
11/1/2019 7:00:00 AM,11/1/2019 3:00:00 AM,RTO,RTO,RTO,RTO,68429.554,False
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,RFC,MIDATL,AE,AECO,718.377,True
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,RFC,WEST,AEP,AEPAPT,3895.805,True
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,RFC,WEST,AEP,AEPIMP,2832.521,True
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,RFC,WEST,AEP,AEPKPT,651.690,True
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,RFC,WEST,AEP,AEPOPT,5706.627,True
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,RFC,WEST,AP,AP,4580.079,True
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,RFC,MIDATL,BC,BC,2395.922,True
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,RFC,WEST,CE,CE,9420.142,True
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,RFC,WEST,DAY,DAY,1719.000,False
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,RFC,WEST,DEOK,DEOK,2627.319,False
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,SERC,SOUTH,DOM,DOM,8035.530,False
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,RFC,MIDATL,DPL,DPLCO,1312.386,True
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,RFC,WEST,DUQ,DUQ,1207.356,True
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,RFC,MIDATL,DPL,EASTON,16.407,True
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,SERC,WEST,EKPC,EKPC,1568.139,True
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,RFC,MIDATL,JC,JC,1665.952,True
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,RFC,MIDATL,ME,ME,1343.260,True
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,RFC,WEST,ATSI,OE,5865.631,True
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,RFC,WEST,OVEC,OVEC,52.000,True
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,RFC,WEST,ATSI,PAPWR,489.229,True
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,RFC,MIDATL,PE,PE,2788.122,True
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,RFC,MIDATL,PEP,PEPCO,2028.019,True
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,RFC,MIDATL,PL,PLCO,3349.436,False
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,RFC,MIDATL,PN,PN,1659.562,True
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,RFC,MIDATL,PS,PS,3465.426,False
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,RFC,MIDATL,RECO,RECO,109.381,False
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,RFC,MIDATL,PEP,SMECO,232.991,True
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,RFC,MIDATL,PL,UGI,79.609,True
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,RFC,MIDATL,AE,VMEU,58.530,True
11/1/2019 8:00:00 AM,11/1/2019 4:00:00 AM,RTO,RTO,RTO,RTO,69874.448,False
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,RFC,MIDATL,AE,AECO,749.953,True
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,RFC,WEST,AEP,AEPAPT,4162.934,True
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,RFC,WEST,AEP,AEPIMP,3013.494,True
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,RFC,WEST,AEP,AEPKPT,682.555,True
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,RFC,WEST,AEP,AEPOPT,5944.914,True
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,RFC,WEST,AP,AP,4913.510,True
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,RFC,MIDATL,BC,BC,2631.079,True
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,RFC,WEST,CE,CE,9613.578,True
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,RFC,WEST,DAY,DAY,1842.000,False
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,RFC,WEST,DEOK,DEOK,2780.887,False
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,SERC,SOUTH,DOM,DOM,8684.339,False
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,RFC,MIDATL,DPL,DPLCO,1432.646,True
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,RFC,WEST,DUQ,DUQ,1268.687,True
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,RFC,MIDATL,DPL,EASTON,18.475,True
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,SERC,WEST,EKPC,EKPC,1681.953,True
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,RFC,MIDATL,JC,JC,1817.694,True
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,RFC,MIDATL,ME,ME,1465.677,True
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,RFC,WEST,ATSI,OE,6214.919,True
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,RFC,WEST,OVEC,OVEC,52.000,True
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,RFC,WEST,ATSI,PAPWR,509.014,True
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,RFC,MIDATL,PE,PE,3031.515,True
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,RFC,MIDATL,PEP,PEPCO,2238.867,True
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,RFC,MIDATL,PL,PLCO,3609.450,False
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,RFC,MIDATL,PN,PN,1767.327,True
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,RFC,MIDATL,PS,PS,3679.453,False
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,RFC,MIDATL,RECO,RECO,116.090,False
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,RFC,MIDATL,PEP,SMECO,265.114,True
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,RFC,MIDATL,PL,UGI,87.647,True
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,RFC,MIDATL,AE,VMEU,62.814,True
11/1/2019 9:00:00 AM,11/1/2019 5:00:00 AM,RTO,RTO,RTO,RTO,74338.585,False
