datetime_beginning_utc,datetime_beginning_ept,datetime_ending_utc,datetime_ending_ept,generated_at_ept,area,area_load_forecast,actual_load,dispatch_rate
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 8:00:40 AM,Dom,11658.00,11670.53,21.25
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 8:00:40 AM,Duq,1582.00,1631.54,20.03
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 8:00:40 AM,EKPC,1666.00,1717.01,20.59
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 8:00:40 AM,MidAtl,31615.00,32042.94,15.54
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 8:00:40 AM,MidAtl - East,,,16.08
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 8:00:40 AM,MidAtl - West,,,17.76
12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 12:00:00 AM,12/14/2019 7:00:00 PM,12/15/2019 8:00:40 AM,OVEC,,,20.08
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 8:00:40 AM,AEP,14846.00,15283.92,21.32
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 8:00:40 AM,AP,6371.00,6597.58,20.87
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 8:00:40 AM,ATSI,8020.00,8020.29,21.38
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 8:00:40 AM,ComEd,11012.00,11501.19,20.64
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 8:00:40 AM,DEOK,3066.00,3088.20,21.95
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 8:00:40 AM,Dayton,1963.00,1948.26,0.00
12/14/2019 10:00:00 PM,12/14/2019 5:00:00 PM,12/14/2019 11:00:00 PM,12/14/2019 6:00:00 PM,12/15/2019 8:00:40 AM,Dom,11589.00,11608.16,22.05
